Formulation_ID,Protein_type,Protein_concentration_wt_percent,Oil_volume_percent,pH,Ionic_strength_or_salt_condition,Heating_treatment,Emulsification_method,Other_key_processing_conditions,Number_of_CLSM_images,Mean_Gp_1Hz_Pa,SD_Gp_1Hz_Pa,log10_Mean_Gp_1Hz,Dataset_split_or_CV_group
F001,FPI,1.0,50.0,7.0,No added salt,No,Not reported,Not reported,7,300.0,0.0,2.4771,FPI|N|1|50|7|0|0
F002,FPI,1.0,50.0,7.0,No added salt,Yes,Not reported,Not reported,8,1500.0,0.0,3.1761,FPI|Y|1|50|7|0|0
F003,FPI,3.0,50.0,3.0,No added salt,No,Not reported,Not reported,15,1200.0,0.0,3.0792,FPI|N|3|50|3|0|0
F004,FPI,3.0,50.0,3.0,No added salt,Yes,Not reported,Not reported,11,1600.0,0.0,3.2041,FPI|Y|3|50|3|0|0
F005,FPI,3.0,50.0,5.0,No added salt,No,Not reported,Not reported,7,500.0,0.0,2.699,FPI|N|3|50|5|0|0
F006,FPI,3.0,50.0,5.0,No added salt,Yes,Not reported,Not reported,3,1000.0,0.0,3.0,FPI|Y|3|50|5|0|0
F007,FPI,3.0,50.0,7.0,No added salt,No,Not reported,Not reported,2,2700.0,0.0,3.4314,FPI|N|3|50|7|0|0
F008,FPI,3.0,50.0,7.0,CaCl2 40 mM,No,Not reported,Not reported,10,2600.0,0.0,3.415,FPI|N|3|50|7|0|40
F009,FPI,3.0,50.0,7.0,NaCl 200 mM,No,Not reported,Not reported,6,3100.0,0.0,3.4914,FPI|N|3|50|7|200|0
F010,FPI,3.0,50.0,7.0,No added salt,Yes,Not reported,Not reported,9,4300.0,0.0,3.6335,FPI|Y|3|50|7|0|0
F011,FPI,3.0,50.0,7.0,CaCl2 40 mM,Yes,Not reported,Not reported,9,3700.0,0.0,3.5682,FPI|Y|3|50|7|0|40
F012,FPI,3.0,50.0,7.0,NaCl 200 mM,Yes,Not reported,Not reported,15,6200.0,0.0,3.7924,FPI|Y|3|50|7|200|0
F013,FPI,3.0,50.0,9.0,No added salt,No,Not reported,Not reported,8,1600.0,0.0,3.2041,FPI|N|3|50|9|0|0
F014,FPI,5.0,50.0,7.0,No added salt,No,Not reported,Not reported,8,4800.0,0.0,3.6812,FPI|N|5|50|7|0|0
F015,FPI,5.0,50.0,7.0,No added salt,Yes,Not reported,Not reported,10,7000.0,0.0,3.8451,FPI|Y|5|50|7|0|0
F016,QPI,3.0,20.0,3.0,No added salt,No,Not reported,Not reported,10,360.0,0.0,2.5563,QPI|N|3|20|3|0|0
F017,QPI,3.0,20.0,5.0,No added salt,No,Not reported,Not reported,2,70.0,0.0,1.8451,QPI|N|3|20|5|0|0
F018,QPI,3.0,20.0,7.0,No added salt,No,Not reported,Not reported,4,300.0,0.0,2.4771,QPI|N|3|20|7|0|0
F019,QPI,3.0,20.0,9.0,No added salt,No,Not reported,Not reported,4,170.0,0.0,2.2304,QPI|N|3|20|9|0|0
F020,QPI,3.0,40.0,3.0,No added salt,No,Not reported,Not reported,2,1700.0,0.0,3.2304,QPI|N|3|40|3|0|0
F021,QPI,3.0,40.0,5.0,No added salt,No,Not reported,Not reported,2,400.0,0.0,2.6021,QPI|N|3|40|5|0|0
F022,QPI,3.0,40.0,7.0,No added salt,No,Not reported,Not reported,2,1100.0,0.0,3.0414,QPI|N|3|40|7|0|0
F023,QPI,3.0,40.0,9.0,No added salt,No,Not reported,Not reported,2,900.0,0.0,2.9542,QPI|N|3|40|9|0|0
F024,QPI,3.0,60.0,3.0,No added salt,No,Not reported,Not reported,1,1300.0,0.0,3.1139,QPI|N|3|60|3|0|0
F025,QPI,3.0,60.0,7.0,No added salt,No,Not reported,Not reported,2,1300.0,0.0,3.1139,QPI|N|3|60|7|0|0
F026,QPI,3.0,60.0,9.0,No added salt,No,Not reported,Not reported,2,1300.0,0.0,3.1139,QPI|N|3|60|9|0|0
F027,QPI,1.0,80.0,7.0,No added salt,No,Not reported,Not reported,5,100.0,0.0,2.0,QPI|N|1|80|7|0|0
F028,QPI,1.0,80.0,7.0,No added salt,Yes,Not reported,Not reported,5,450.0,0.0,2.6532,QPI|Y|1|80|7|0|0
F029,QPI,3.0,80.0,7.0,No added salt,No,Not reported,Not reported,14,460.0,0.0,2.6628,QPI|N|3|80|7|0|0
F030,QPI,3.0,80.0,7.0,No added salt,Yes,Not reported,Not reported,4,1000.0,0.0,3.0,QPI|Y|3|80|7|0|0
F031,QPI,5.0,80.0,7.0,No added salt,No,Not reported,Not reported,9,1100.0,0.0,3.0414,QPI|N|5|80|7|0|0
F032,QPI,5.0,80.0,7.0,No added salt,Yes,Not reported,Not reported,5,1800.0,0.0,3.2553,QPI|Y|5|80|7|0|0
